Time name; timer [s/ps]
timeINO;35477.0
timePollSent;16423887.0
timePollAckReceived;16438693.0
timePollAckReceived;16540693.0
timeRangeSent;16555501.0
timeINO;35681.0
timePollSent;16729893.0
timePollAckReceived;16744700.0
timePollAckReceived;16846698.0
timeRangeSent;16861506.0
timeINO;35987.0
timePollSent;16933898.0
timePollAckReceived;16948706.0
timePollAckReceived;17050702.0
timeRangeSent;17065510.0
timeINO;36191.0
timePollSent;17137902.0
timePollAckReceived;17152706.0
timePollAckReceived;47306.3
timeRangeSent;62116.76
timeINO;36395.0
timePollSent;134505.3
timePollAckReceived;149310.44
timePollAckReceived;251311.78
timeRangeSent;266119.25
timeINO;36599.0
timePollSent;338507.91
timePollAckReceived;353311.19
timePollAckReceived;455316.31
timeRangeSent;470122.63
timeINO;36803.0
timePollSent;542512.25
timePollAckReceived;557314.44
timePollAckReceived;659321.94
timeRangeSent;674131.56
timeINO;37007.0
timePollSent;746518.63
timePollAckReceived;761321.63
timePollAckReceived;863324.94
timeRangeSent;878131.69
timeINO;37211.0
timePollSent;950523.0
timePollAckReceived;965323.31
timePollAckReceived;1271338.5
timeRangeSent;1286150.62
timeINO;37619.0
timePollSent;1358531.0
timePollAckReceived;1373333.62
timePollAckReceived;1475337.25
timeRangeSent;1490145.5
timeINO;37823.0
timePollSent;1664538.37
timePollAckReceived;1679341.37
timePollAckReceived;1781345.5
timeRangeSent;1796154.0
timeINO;38129.0
timePollSent;1868542.5
timePollAckReceived;1883347.0
timePollAckReceived;1985347.37
timeRangeSent;2000153.37
timeINO;38333.0
timePollSent;2072547.12
timePollAckReceived;2087355.0
timePollAckReceived;2189354.0
timeRangeSent;2204162.25
timeINO;38537.0
timePollSent;2276551.75
timePollAckReceived;2291355.0
timePollAckReceived;2393357.0
timeRangeSent;2408165.25
timeINO;38741.0
timePollSent;2480555.75
timePollAckReceived;2495360.75
timePollAckReceived;2597364.0
timeRangeSent;2612174.25
timeINO;38945.0
timePollSent;2684558.25
timePollAckReceived;2699361.75
timePollAckReceived;2801369.0
timeRangeSent;2816178.0
timeINO;39149.0
timePollSent;2888564.5
timePollAckReceived;2903367.5
timePollAckReceived;3005369.75
timeRangeSent;3020179.75
timeINO;39353.0
timePollSent;3092569.0
timePollAckReceived;3107372.75
timePollAckReceived;3209373.0
timeRangeSent;3224181.25
timeINO;39557.0
timePollSent;3296571.5
timePollAckReceived;3311374.0
timePollAckReceived;3413377.0
timeRangeSent;3428182.5
timeINO;39761.0
timePollSent;3500577.75
timePollAckReceived;3515380.0
timePollAckReceived;3617382.75
timeRangeSent;3632192.5
timeINO;39965.0
timePollSent;3806583.5
timePollAckReceived;3821385.5
timePollAckReceived;3923391.75
timeRangeSent;3938198.5
timeINO;40271.0
timePollSent;4010588.75
timePollAckReceived;4025391.5
timePollAckReceived;4127393.75
timeRangeSent;4142200.75
timeINO;40475.0
timePollSent;4214593.0
timePollAckReceived;4229400.5
timePollAckReceived;4331399.5
timeRangeSent;4346206.0
timeINO;40679.0
timePollSent;4418597.0
timePollAckReceived;4433403.0
timePollAckReceived;4535406.5
timeRangeSent;4550212.5
timeINO;40883.0
timePollSent;4622599.5
timePollAckReceived;4637406.5
timePollAckReceived;4739414.5
timeRangeSent;4754221.5
timeINO;41087.0
timePollSent;4826604.5
timePollAckReceived;4841412.5
timePollAckReceived;4943416.5
timeRangeSent;4958225.5
timeINO;41291.0
timePollSent;5030610.5
timePollAckReceived;5045420.5
timePollAckReceived;5147423.5
timeRangeSent;5162229.5
timeINO;41495.0
timePollSent;5234613.0
timePollAckReceived;5249405.5
timePollAckReceived;5351425.5
timeRangeSent;5366232.0
timeINO;41699.0
timePollSent;5438619.5
timePollAckReceived;5453417.0
timePollAckReceived;5555418.0
timeRangeSent;5570225.5
timeINO;41903.0
timePollSent;5642622.0
timePollAckReceived;5657421.5
timePollAckReceived;5759424.5
timeRangeSent;5774232.0
timeINO;42107.0
timePollSent;5948630.0
timePollAckReceived;5963426.5
timePollAckReceived;6065428.0
timeRangeSent;6080235.5
timeINO;42413.0
timePollSent;6152632.5
timePollAckReceived;6167429.0
timePollAckReceived;6269432.0
timeRangeSent;6284241.0
timeINO;42617.0
timePollSent;6356637.0
timePollAckReceived;6371431.0
timePollAckReceived;6473437.0
timeRangeSent;6488244.0
timeINO;42821.0
timePollSent;6560641.5
timePollAckReceived;6575440.0
timePollAckReceived;6677442.0
timeRangeSent;6692248.5
timeINO;43025.0
timePollSent;6764647.0
timePollAckReceived;6779441.0
timePollAckReceived;6983447.5
timeRangeSent;6998260.5
timeINO;43331.0
timePollSent;7070653.5
timePollAckReceived;7085449.5
timePollAckReceived;7187452.5
timeRangeSent;7202262.0
timeINO;43535.0
timePollSent;7274658.5
timePollAckReceived;7289453.5
timePollAckReceived;7391457.0
timeRangeSent;7406264.0
timeINO;43739.0
timePollSent;7478663.0
timePollAckReceived;7493462.5
timePollAckReceived;7697465.5
timeRangeSent;7712276.0
timeINO;44045.0
timePollSent;7784667.5
timePollAckReceived;7799465.5
timePollAckReceived;7901471.0
timeRangeSent;7916278.5
timeINO;44249.0
timePollSent;8090675.5
timePollAckReceived;8105473.5
timePollAckReceived;8207471.0
timeRangeSent;8222281.5
timeINO;44555.0
timePollSent;8294680.0
timePollAckReceived;8309479.0
timePollAckReceived;8411478.0
timeRangeSent;8426288.0
timeINO;44759.0
timePollSent;8498685.0
timePollAckReceived;8513484.0
timePollAckReceived;8615482.0
timeRangeSent;8630292.0
timeINO;44963.0
timePollSent;8702689.0
timePollAckReceived;8717485.0
timePollAckReceived;8819485.0
timeRangeSent;8834295.0
timeINO;45167.0
timePollSent;8906693.0
timePollAckReceived;8921489.0
timePollAckReceived;9023490.0
timeRangeSent;9038296.0
timeINO;45371.0
timePollSent;9110697.0
timePollAckReceived;9125495.0
timePollAckReceived;9227493.0
timeRangeSent;9242300.0
timeINO;45575.0
timePollSent;9314702.0
timePollAckReceived;9329499.0
timePollAckReceived;9431502.0
timeRangeSent;9446307.0
timeINO;45779.0
timePollSent;9518707.0
timePollAckReceived;9533503.0
timePollAckReceived;9635503.0
timeRangeSent;9650311.0
timeINO;45983.0
timePollSent;9722711.0
timePollAckReceived;9737506.0
timePollAckReceived;9839510.0
timeRangeSent;9854319.0
timeINO;46187.0
timePollSent;9926715.0
timePollAckReceived;9941512.0
timePollAckReceived;10043511.0
timeRangeSent;10058317.0
timeINO;46391.0
timePollSent;10232721.0
