Time name; timer [s/ps]
timeRangeSent;4652212.5
timeINO;40985.0
timePollSent;4724615.0
timePollAckReceived;4739411.5
timePollAckReceived;4841411.0
timeRangeSent;4856218.0
timeINO;41189.0
timePollSent;4928618.0
timePollAckReceived;4943414.5
timePollAckReceived;5045417.0
timeRangeSent;5060225.5
timeINO;41393.0
timePollSent;5132624.0
timePollAckReceived;5147423.0
timePollAckReceived;5249422.5
timeRangeSent;5264229.5
timeINO;41597.0
timePollSent;5336627.5
timePollAckReceived;5351423.0
timePollAckReceived;5453425.5
timeRangeSent;5468233.0
timeINO;41801.0
timePollSent;5540633.0
timePollAckReceived;5555429.0
timePollAckReceived;5759437.0
timeRangeSent;5774245.5
timeINO;42107.0
timePollSent;5948642.0
timePollAckReceived;5963435.0
timePollAckReceived;6065437.0
timeRangeSent;6080245.5
timeINO;42413.0
timePollSent;6152646.0
timePollAckReceived;6167440.5
timePollAckReceived;6269443.0
timeRangeSent;6284250.0
timeINO;42617.0
timePollSent;6356650.5
timePollAckReceived;6371446.5
timePollAckReceived;6473449.0
timeRangeSent;6488256.5
timeINO;42821.0
timePollSent;6560654.0
timePollAckReceived;6575450.0
timePollAckReceived;6677451.5
timeRangeSent;6692259.0
timeINO;43025.0
timePollSent;6764658.5
timePollAckReceived;6779455.5
timePollAckReceived;6881457.0
timeRangeSent;6896266.0
timeINO;43229.0
timePollSent;6968664.0
timePollAckReceived;6983460.5
timePollAckReceived;7085461.0
timeRangeSent;7100267.5
timeINO;43433.0
timePollSent;7172667.0
timePollAckReceived;7187460.5
timePollAckReceived;7289467.0
timeRangeSent;7304275.0
timeINO;43637.0
timePollSent;7376672.5
timePollAckReceived;7391467.5
timePollAckReceived;7493471.0
timeRangeSent;7508278.5
timeINO;43841.0
timePollSent;7580676.5
timePollAckReceived;7595472.5
timePollAckReceived;7697473.5
timeRangeSent;7712281.0
timeINO;44045.0
timePollSent;7784682.0
timePollAckReceived;7799475.0
timePollAckReceived;7901477.5
timeRangeSent;7916285.0
timeINO;44249.0
timePollSent;8090687.0
timePollAckReceived;8105485.0
timePollAckReceived;8207486.0
timeRangeSent;8222295.0
timeINO;44555.0
timePollSent;8294693.0
timePollAckReceived;8309487.5
timePollAckReceived;8411491.0
timeRangeSent;8426299.0
timeINO;44759.0
timePollSent;8498697.0
timePollAckReceived;8513495.0
timePollAckReceived;8615496.0
timeRangeSent;8630303.0
timeINO;44963.0
timePollSent;8702701.0
timePollAckReceived;8717494.0
timePollAckReceived;8819500.0
timeRangeSent;8834309.0
timeINO;45167.0
timePollSent;8906706.0
timePollAckReceived;8921501.0
timePollAckReceived;9023505.0
timeRangeSent;9038313.0
timeINO;45371.0
timePollSent;9110710.0
timePollAckReceived;9125505.0
timePollAckReceived;9227508.0
timeRangeSent;9242317.0
timeINO;45575.0
timePollSent;9314714.0
timePollAckReceived;9329510.0
timePollAckReceived;9431512.0
timeRangeSent;9446321.0
timeINO;45779.0
timePollSent;9518718.0
timePollAckReceived;9533514.0
timePollAckReceived;9635515.0
timeRangeSent;9650323.0
timeINO;45983.0
timePollSent;9722724.0
timePollAckReceived;9737521.0
timePollAckReceived;9839525.0
timeRangeSent;9854335.0
timeINO;46187.0
timePollSent;9926729.0
timePollAckReceived;9941527.0
timePollAckReceived;10043527.0
timeRangeSent;10058335.0
timeINO;46391.0
timePollSent;10232735.0
timePollAckReceived;10247532.0
timePollAckReceived;10349533.0
timeRangeSent;10364341.0
timeINO;46697.0
timePollSent;10436739.0
timePollAckReceived;10451532.0
timePollAckReceived;10553537.0
timeRangeSent;10568345.0
timeINO;46901.0
timePollSent;10640743.0
timePollAckReceived;10655537.0
timePollAckReceived;10757543.0
timeRangeSent;10772351.0
